title_ja,title_en,tags,cover_image_path,description
Toaru Majutsu no Index Gaiden - Toaru Kagaku no Mental Out,,Sci-Fi|Action|Comedy|Drama|School Life|Slice of Life|Supernatural,data/images\4e0ab019-afcb-4fd9-98eb-fcb28cf7fc81.jpg,The Tokiwadai student council election is approaching. Shokuhou Misaki  one of the leading candidates  is in the midst of an election campaign in spite of her own expectations due to the people around her and the fate of being the head of the largest clique...!!
,Kuchibeta Shokudou,Comedy|Girls' Love|Slice of Life|Cooking,data/images\cd8c0cda-debe-40e4-a0ea-462046a97697.jpg,For five years  she's been eating at the set-meal restaurant but didn't feel comfortable saying anything more  and the waitress at the restaurant who wanted to talk to that regular customer but couldn't get the words out. Their feelings are leaking out  but they just couldn't express their love for each other in many ways. ___ - **Note:** *Kuchibeta Shokudou*  originally released under the title *Otagai Iitai Koto ga Ienai Tenin Okyakusan no Manga* (お互い言いたいことが言えない店員とお客さんの漫画)  is a web manga released on the [author's Twitter account](https://twitter.com/i/events/1378283683996528643) since February 15  2019  and it was picked up for commercial publication on December 10  2021.
,Kobayashi-san Chi no Maid Dragon - Iruru wa Koi toka Wakarimasen!,Loli|Romance|Comedy|4-Koma|Fantasy|Monster Girls|Slice of Life,data/images\394ef8a1-a59a-4e4e-9d6c-8e1a834d307a.jpg,いつも無邪気なイルルと思春期男子高校生・タケト。イルルの無防備で刺激的な行動にタケトはいつもたじたじ。ただイルルにも新たな感情が芽生えてる…？
,Oishinbo,Award Winning|Psychological|Romance|Comedy|Office Workers|Drama|Slice of Life|Cooking|Tragedy,data/images\9f03fd07-8012-4032-ad95-31458704b601.jpg,"Around the offices of Tozai News  Shiro Yamaoka has a reputation for being over-blunt  under-ambitious  and generally an all-around slacker. So why has he been given the important job of coming up with the ""Ultimate Menu"" to celebrate the newspaper's 100th anniversary? Because he possesses qualities his other colleagues don't: an exquisitely discerning palate  an encyclopedic knowledge of food and drink  and a masterful touch in the kitchen.  --- - **Won the Shogakukan Manga Award for Seinen/General in 1987**"
,A Bird,Oneshot|Psychological|Drama|Tragedy,data/images\1cce9906-c4dc-4bd2-b9a8-1e2d96d0847f.jpg,
,Just a Man,Oneshot|Sci-Fi|Psychological|Drama,data/images\70f9346e-044a-4cf0-ac49-b4df8e5dd62a.jpg,
,Bocchi the Rock! Gaiden - Hiroi Kikuri no Fukazake Nikki,Comedy|Survival|Slice of Life|Music,data/images\56901ae8-aece-4983-96c3-94751c96a8bb.jpg,"25 years old Kikuri Hiroi is a ""genius bassist"" who leads the indie band ""SICK HACK"" and loves alcohol. She often gets drunk and breaks the equipment inside concert clubs  so she's often short of money. She lives in a 52-year-old bathless apartment so she borrows showers from her friends sometimes. Regularly attacked by anxiety about her future  she counters that with a alcohol-fueled ""happiness spiral"". What is her daily life like...?!"
,Kinnikuman II-Sei: Ultimate Chojin Tag Arc,Time Travel|Monsters|Action|Demons|Animals|Comedy|Survival|Sports|Superhero|Martial Arts|Gore|Drama|Aliens,data/images\af857779-a400-46ef-917a-3b3a248e2221.jpg,"The sequel series to ""Kinnikuman ii sei"".     A new threat appears to defeat the Legends  known only as the 'Time Chojin'. These mysterious villains travel through time  in their quest to eradicate the Justice Chojin. If their plan succeeds  they will erase the New Generation from history and usher in a new era of evil domination over the humans.     The New Generation must travel through time to stop the Time Chojin.    In the process  they earn the distrust of the Legends. The ensuing conflict triggers the start of the 'Ultimate Chojin Tag Tournament'  which will pit Legends against New Generation  and Justice Chojin vs Evil Chojin. The winners will determine the future of the planet as we know it and reign supreme over Earth."
,Yuusha-kun wa Tabidatenai,Comedy|Adventure|Harem|Fantasy,data/images\43a72296-16cc-4f0d-a463-dcdc07333574.jpg,The Hero is expected by God and the People to defeat the Demon King!! And now its time to set out!! ...But before he can he is tempted by a thick sexy bunny girl! At the mercy of the Bunny girl's wiles he is unable to depart... Furthermore a Priest of the church charms him with her night skills... Will the Hero ever be able to set out on his journey?
,Bleach (Official Colored),Award Winning|Official Colored|Action|Comedy|Martial Arts|Adventure|Gore|Drama|Fantasy|Supernatural,data/images\a460ab18-22c1-47eb-a08a-9ee85fe37ec8.jpg,Ichigo Kurosaki has always been able to see ghosts  but this ability doesn't change his life nearly as much as his close encounter with Rukia Kuchiki  a Soul Reaper and member of the mysterious Soul Society. While fighting a Hollow  an evil spirit that preys on humans who display psychic energy  Rukia attempts to lend Ichigo some of her powers so that he can save his family  but much to her surprise  Ichigo absorbs every last drop of her energy. Now a full-fledged Soul Reaper himself  Ichigo quickly learns that the world he inhabits is one full of dangerous spirits  and along with Rukia  who is slowly regaining her powers  it's Ichigo's job to both protect the innocent from Hollows and to help the spirits themselves find peace.  --- Links: * alternative [official raw](https://www.shueisha.co.jp/books/search/search.html?seriesid=48374)
